ANDREA|20190520|1800|28.10|-68.60|35|1008
ANDREA|20190521|0|29.10|-68.80|35|1006
ANDREA|20190521|600|29.90|-69.00|35|1007
ANDREA|20190521|1200|30.60|-69.10|30|1009
ANDREA|20190521|1800|30.80|-68.60|30|1009
ANDREA|20190522|0|31.30|-67.70|30|1010
ANDREA|20190522|600|31.60|-66.70|25|1011
BARRY|20190710|1200|28.50|-86.50|25|1009
BARRY|20190710|1800|28.10|-87.10|30|1009
BARRY|20190711|0|27.80|-87.60|30|1008
BARRY|20190711|600|27.70|-88.00|35|1007
BARRY|20190711|1200|27.70|-88.40|35|1005
BARRY|20190711|1800|27.70|-88.80|40|1005
BARRY|20190712|0|27.80|-89.20|45|1001
BARRY|20190712|600|27.90|-89.70|45|1001
BARRY|20190712|1200|28.10|-90.20|50|998
BARRY|20190712|1800|28.40|-90.70|55|993
BARRY|20190713|0|28.60|-91.10|60|993
BARRY|20190713|600|28.90|-91.50|60|993
BARRY|20190713|1200|29.30|-91.90|65|993
BARRY|20190713|1500|29.60|-92.20|65|993
BARRY|20190713|1800|29.90|-92.40|60|996
BARRY|20190714|0|30.40|-92.80|50|999
BARRY|20190714|600|31.00|-93.20|40|1003
BARRY|20190714|1200|31.60|-93.50|35|1005
BARRY|20190714|1800|32.30|-93.60|35|1007
BARRY|20190715|0|33.00|-93.60|25|1008
BARRY|20190715|600|33.90|-93.60|25|1008
BARRY|20190715|1200|34.70|-93.60|20|1008
BARRY|20190715|1800|35.50|-93.50|20|1008
BARRY|20190716|0|36.30|-93.30|15|1009
BARRY|20190716|600|37.20|-92.90|15|1010
THREE|20190722|1200|24.60|-77.40|25|1013
THREE|20190722|1800|25.00|-78.40|25|1013
THREE|20190723|0|25.70|-79.30|25|1013
THREE|20190723|600|26.90|-79.60|30|1013
THREE|20190723|1200|28.60|-80.00|30|1014
CHANTAL|20190820|1800|40.10|-59.70|30|1008
CHANTAL|20190821|0|40.30|-57.10|35|1007
CHANTAL|20190821|600|40.30|-54.80|35|1007
CHANTAL|20190821|1200|40.10|-52.50|35|1007
CHANTAL|20190821|1800|39.90|-50.30|35|1007
CHANTAL|20190822|0|39.60|-48.30|30|1007
CHANTAL|20190822|600|39.30|-46.30|30|1007
CHANTAL|20190822|1200|38.90|-44.40|30|1007
CHANTAL|20190822|1800|38.50|-42.90|30|1007
CHANTAL|20190823|0|38.00|-41.80|30|1007
CHANTAL|20190823|600|37.50|-41.20|25|1009
CHANTAL|20190823|1200|36.90|-40.90|25|1011
CHANTAL|20190823|1800|36.30|-40.80|25|1012
CHANTAL|20190824|0|35.70|-40.90|25|1013
CHANTAL|20190824|600|35.30|-41.20|25|1013
CHANTAL|20190824|1200|35.10|-41.80|25|1013
CHANTAL|20190824|1800|35.00|-42.50|25|1013
CHANTAL|20190825|0|35.10|-43.20|20|1014
CHANTAL|20190825|600|35.50|-43.60|20|1014
CHANTAL|20190825|1200|35.90|-43.90|20|1014
CHANTAL|20190825|1800|36.10|-44.10|15|1014
CHANTAL|20190826|0|36.20|-44.40|15|1014
CHANTAL|20190826|600|36.20|-44.80|15|1014
CHANTAL|20190826|1200|36.40|-45.00|15|1014
CHANTAL|20190826|1800|36.50|-44.80|15|1014
DORIAN|20190824|600|10.30|-46.40|25|1011
DORIAN|20190824|1200|10.40|-47.50|30|1010
DORIAN|20190824|1800|10.60|-48.70|35|1008
DORIAN|20190825|0|10.80|-49.90|35|1008
DORIAN|20190825|600|11.00|-51.00|35|1008
DORIAN|20190825|1200|11.20|-52.30|40|1007
DORIAN|20190825|1800|11.40|-53.50|45|1007
DORIAN|20190826|0|11.60|-54.70|45|1007
DORIAN|20190826|600|11.90|-56.00|45|1006
DORIAN|20190826|1200|12.20|-57.20|45|1006
DORIAN|20190826|1800|12.60|-58.30|45|1006
DORIAN|20190827|0|13.00|-59.20|45|1005
DORIAN|20190827|130|13.10|-59.40|45|1005
DORIAN|20190827|600|13.50|-60.20|45|1005
DORIAN|20190827|1100|14.00|-60.90|45|1005
DORIAN|20190827|1200|14.20|-61.20|45|1005
DORIAN|20190827|1800|15.00|-62.00|45|1004
DORIAN|20190828|0|15.70|-62.80|50|1003
DORIAN|20190828|600|16.40|-63.50|55|1001
DORIAN|20190828|1200|17.30|-64.20|60|999
DORIAN|20190828|1530|17.80|-64.60|65|995
DORIAN|20190828|1800|18.40|-65.10|70|993
DORIAN|20190829|0|19.20|-65.70|75|989
DORIAN|20190829|600|20.00|-66.30|75|988
DORIAN|20190829|1200|21.00|-66.90|75|986
DORIAN|20190829|1800|22.00|-67.40|75|983
DORIAN|20190830|0|22.80|-68.00|80|978
DORIAN|20190830|600|23.50|-68.80|90|978
DORIAN|20190830|1200|24.30|-69.50|95|972
DORIAN|20190830|1800|24.80|-70.30|100|968
DORIAN|20190831|0|25.30|-71.10|115|949
DORIAN|20190831|600|25.60|-72.10|120|947
DORIAN|20190831|1200|25.90|-73.00|125|944
DORIAN|20190831|1800|26.10|-74.00|130|942
DORIAN|20190901|0|26.30|-74.70|135|939
DORIAN|20190901|600|26.40|-75.60|145|934
DORIAN|20190901|1200|26.50|-76.50|155|927
DORIAN|20190901|1640|26.50|-77.00|160|910
DORIAN|20190901|1800|26.50|-77.10|160|910
DORIAN|20190902|0|26.60|-77.70|155|914
DORIAN|20190902|215|26.60|-77.80|155|914
DORIAN|20190902|600|26.60|-78.00|145|916
DORIAN|20190902|1200|26.70|-78.30|135|927
DORIAN|20190902|1800|26.80|-78.40|125|938
DORIAN|20190903|0|26.90|-78.50|115|944
DORIAN|20190903|600|27.00|-78.50|105|950
